年份,纳斯达克100,科创50,黄金,低波红利,银行存款
2026,15.5,-8.0,12.0,6.5,1.10
2027,22.0,35.0,-2.0,8.0,1.35
2028,12.5,18.5,1.5,4.5,1.50
2029,-5.0,-5.0,6.0,1.0,1.25
2030,-38.0,-45.0,8.0,-15.0,0.50
2031,-5.0,5.0,42.0,6.0,0.25
2032,12.0,15.0,-1.5,4.5,0.25
2033,18.0,28.0,-3.0,5.0,0.50
2034,24.5,35.0,-1.0,7.0,0.75
2035,14.0,10.0,2.0,6.5,1.00
2036,2.0,-12.5,5.0,2.0,1.00
2037,11.5,8.0,-2.0,4.0,1.10
2038,16.0,20.0,-1.5,6.0,1.25
2039,20.0,-5.0,3.0,5.5,1.35
2040,-32.0,-28.0,12.0,-4.0,0.60
2041,6.0,-8.5,31.5,9.0,0.50
2042,13.5,12.0,-2.5,5.0,0.75
2043,27.0,26.5,-4.0,8.5,1.10
2044,11.0,14.0,1.5,4.0,1.20
2045,-4.5,-22.0,6.5,1.5,1.00
2046,9.0,11.5,-1.0,3.0,1.00
2047,15.0,22.0,-2.0,6.0,1.15
2048,19.5,30.0,-3.0,7.0,1.25
2049,5.0,2.0,4.0,2.5,1.00
2050,-42.5,-52.0,15.0,-22.0,0.15
2051,-8.0,-6.0,48.0,2.0,0.10
2052,12.0,8.5,-1.0,5.5,0.25
2053,21.0,18.0,-3.5,6.0,0.35
2054,14.5,22.5,-2.0,5.0,0.45
2055,3.0,-8.5,4.0,2.0,0.35
2056,11.0,13.0,-1.5,4.5,0.50
2057,16.5,18.0,-1.0,6.0,0.60
2058,-6.0,-18.5,7.5,1.5,0.40
2059,13.0,15.0,-2.0,5.0,0.50
2060,18.0,24.5,-2.5,6.5,0.60
2061,10.5,9.0,1.0,4.0,0.60
2062,-2.0,-14.0,5.5,2.5,0.45
2063,15.0,18.5,-3.0,5.5,0.55
2064,22.5,33.0,-2.0,8.0,0.65
2065,8.0,10.0,2.0,3.5,0.60
